lat,lon,time,H1000,H850,PBLTOP,PS,SLP,T10M,T2M,T2MDEW,T850,TS,U10M,U2M,U50M,V10M,V2M,V50M
48.5,5.0,2014-01-02 00:30:00,8.729916,1341.2634,92139.16,97386.53,100104.05,280.81018,280.53302,278.9428,276.14868,279.86508,1.5750482,1.0938239,2.698008,10.547339,7.3223476,14.198774
48.5,5.0,2014-01-02 01:30:00,4.2347474,1336.1514,91390.45,97336.555,100050.44,280.56366,280.3324,278.8951,276.13153,279.7594,1.918742,1.3353565,3.1468625,10.872265,7.566848,14.424064
48.5,5.0,2014-01-02 02:30:00,-0.85181,1331.7301,90829.06,97288.39,99989.89,280.55313,280.3279,278.82242,276.31635,279.80865,2.4908314,1.7344244,3.93967,10.89253,7.585752,14.42618
48.5,5.0,2014-01-02 03:30:00,-2.0148187,1330.1481,86666.25,97263.2,99976.0,280.90067,280.64948,278.93552,276.191,280.0819,3.774312,2.6271386,5.8383236,10.713587,7.456388,14.303214
48.5,5.0,2014-01-02 04:30:00,3.3592286,1334.2279,82783.58,97308.12,100040.39,281.18692,280.93106,279.13916,275.51315,280.31473,5.9194813,4.1188,8.6050005,9.857599,6.858459,12.948176
48.5,5.0,2014-01-02 05:30:00,8.364068,1338.9136,88124.34,97359.04,100100.625,281.18988,280.92404,279.41586,274.54315,280.27835,5.740548,3.9861693,8.229096,8.682278,6.027549,11.520712
48.5,5.0,2014-01-02 06:30:00,11.661104,1341.6498,86685.55,97398.63,100140.516,281.00964,280.70792,279.58832,274.4223,279.9686,4.8088646,3.3240657,7.06209,7.99235,5.5245433,10.700047
48.5,5.0,2014-01-02 07:30:00,17.379019,1346.2163,87537.56,97457.18,100209.89,280.99933,280.6464,279.59302,274.0542,279.8347,5.174844,3.5607383,7.70539,7.0534105,4.8545504,9.687365
48.5,5.0,2014-01-02 08:30:00,23.278618,1349.8424,90925.34,97527.125,100281.51,281.0806,280.81683,279.61514,273.51797,280.28662,5.5251555,3.816656,7.9788313,6.478795,4.475299,8.746737
48.5,5.0,2014-01-02 09:30:00,30.553478,1354.525,93087.65,97607.58,100370.17,280.94458,280.83777,279.53528,273.17267,280.57715,6.416643,4.4730043,8.668336,5.97421,4.163988,7.6880836
48.5,5.0,2014-01-02 10:30:00,36.7426,1361.1067,93667.81,97686.48,100444.94,280.8932,280.874,279.81708,273.00586,280.86902,5.724953,4.0055776,7.5952396,5.1484175,3.600823,6.468857
48.5,5.0,2014-01-02 11:30:00,39.947178,1365.9177,91422.25,97724.21,100483.25,281.70108,281.721,280.0656,273.1831,281.87073,6.2816315,4.4042377,8.4167795,4.449049,3.1207254,5.5784035
48.5,5.0,2014-01-02 12:30:00,42.37411,1369.79,91234.51,97759.42,100511.97,282.40723,282.3966,280.02838,273.44907,282.3938,6.30197,4.409766,8.392134,3.9643772,2.7745233,5.040932
48.5,5.0,2014-01-02 13:30:00,46.10589,1374.4985,92717.336,97803.02,100556.9,282.6391,282.55005,280.05408,273.91553,282.29443,5.5677986,3.8714728,7.540404,3.6967137,2.570632,4.882112
48.5,5.0,2014-01-02 14:30:00,53.40287,1381.4467,93145.56,97879.75,100646.4,282.32364,282.07556,280.06042,273.92947,281.38153,4.9011664,3.3413105,7.321755,3.2575078,2.2210073,4.712388
48.5,5.0,2014-01-02 15:30:00,60.561207,1387.5872,90757.39,97968.98,100734.17,281.36285,280.92163,279.6491,273.65265,279.87115,4.1615405,2.7298236,7.339903,2.7260814,1.7885013,4.62463
48.5,5.0,2014-01-02 16:30:00,66.323006,1392.4531,89092.16,98032.18,100804.3,280.82144,280.3731,279.23688,273.45218,279.52637,3.8911073,2.5437148,6.916439,2.9375935,1.9206806,5.027782
48.5,5.0,2014-01-02 17:30:00,68.15045,1394.1161,88938.92,98061.77,100825.67,280.39246,279.9632,278.95624,273.565,279.11038,2.9335318,1.9101043,5.2735243,3.5344706,2.3006554,6.168234
48.5,5.0,2014-01-02 18:30:00,67.9191,1394.8274,96632.67,98056.41,100821.11,279.41187,278.8564,278.55753,273.82642,277.7279,1.7125504,1.0834922,3.3419213,3.9919577,2.5220015,7.604512
48.5,5.0,2014-01-02 19:30:00,67.55103,1395.7662,97321.41,98059.2,100816.27,278.69232,278.08377,278.43625,273.92792,276.96783,1.0016714,0.6303925,1.9493103,4.3609257,2.744895,8.403457
48.5,5.0,2014-01-02 20:30:00,68.34049,1397.8971,97336.1,98065.52,100825.18,278.562,278.01447,278.46994,274.0291,277.0582,0.55901873,0.35809255,1.0949148,4.7017126,3.0143323,8.553317
48.5,5.0,2014-01-02 21:30:00,69.12483,1399.3457,97334.3,98073.16,100834.875,278.83972,278.3872,278.54132,274.1577,277.60025,0.79468346,0.5214828,1.4580485,4.9820366,3.2685738,8.337565
48.5,5.0,2014-01-02 22:30:00,69.77668,1400.1486,95605.43,98087.2,100843.16,279.16415,278.77655,278.58554,274.26065,278.0938,1.156334,0.76902497,2.1348722,5.185785,3.4488318,8.311076
48.5,5.0,2014-01-02 23:30:00,67.71748,1398.4033,92619.14,98064.67,100816.234,279.96887,279.56586,278.703,274.3768,278.8001,1.4597278,0.9745964,2.746664,5.4594145,3.6458697,8.65996
48.5,5.625,2014-01-02 00:30:00,22.455013,1354.0759,94571.16,96426.53,100268.016,279.30627,279.11505,278.41937,276.00806,278.70883,1.9974115,1.378614,2.9797463,10.266089,7.0879726,13.702681
48.5,5.625,2014-01-02 01:30:00,16.823614,1347.9951,94350.45,96368.555,100200.664,279.3957,279.2113,278.53574,275.7995,278.81018,2.3064373,1.593169,3.3548703,10.485546,7.242629,13.951407
48.5,5.625,2014-01-02 02:30:00,10.577877,1341.6207,93965.06,96296.39,100125.99,279.37735,279.2029,278.50992,275.64056,278.8155,2.5738392,1.7793462,3.6828341,10.701124,7.398252,14.148836
48.5,5.625,2014-01-02 03:30:00,6.0115485,1337.6871,92042.25,96247.2,100071.5,279.50613,279.33307,278.59177,275.67538,278.97644,3.1600542,2.1857324,4.604925,10.779993,7.4524817,14.303214
48.5,5.625,2014-01-02 04:30:00,8.356298,1339.4232,91391.58,96260.12,100099.766,279.8002,279.62637,278.8579,275.52097,279.2571,4.4927235,3.1070812,6.2300005,10.381037,7.1787715,13.690364
48.5,5.625,2014-01-02 05:30:00,15.567193,1345.0542,88396.34,96319.04,100187.234,280.0141,279.81857,279.0018,275.133,279.39163,5.3909388,3.7224975,7.578706,9.260403,6.3966894,12.344931
48.5,5.625,2014-01-02 06:30:00,20.723604,1349.7513,93213.55,96374.63,100249.91,280.0995,279.87198,279.018,274.43207,279.35336,5.807888,4.0018,7.796465,8.355631,5.7589183,11.000828
48.5,5.625,2014-01-02 07:30:00,24.136831,1352.4038,93681.56,96409.18,100291.43,279.95245,279.69327,279.00708,273.78857,279.10422,4.7822657,3.282418,6.6194525,7.5709887,5.196347,10.277208
48.5,5.625,2014-01-02 08:30:00,29.497368,1356.6237,92061.34,96463.125,100356.76,280.10794,279.91058,279.13858,273.42227,279.57178,4.7194915,3.2473202,6.596019,7.1858263,4.944049,9.645174
48.5,5.625,2014-01-02 09:30:00,34.319103,1360.2281,88415.65,96519.58,100415.36,280.78052,280.6776,279.4259,273.25665,280.55762,6.2838306,4.3499575,8.498414,6.7535067,4.6737537,8.832615
48.5,5.625,2014-01-02 10:30:00,40.96135,1366.0286,91395.81,96598.48,100495.81,280.85413,280.84274,279.50458,273.11523,280.83777,6.9007344,4.796593,9.060083,5.7402143,3.9894948,7.3047943
48.5,5.625,2014-01-02 11:30:00,44.384678,1370.1833,90494.25,96644.21,100537.0,281.12686,281.1624,279.6125,273.3003,281.30237,7.084366,4.9354877,9.303498,4.7361584,3.300413,5.959263
48.5,5.625,2014-01-02 12:30:00,47.56161,1374.54,89074.51,96679.42,100575.22,281.8291,281.8849,279.58307,273.61313,282.09302,7.053923,4.923438,9.226118,4.073752,2.8428826,5.144448
48.5,5.625,2014-01-02 13:30:00,51.902763,1380.0298,91277.336,96731.02,100627.65,282.12738,282.0774,279.54626,273.8667,281.9077,6.0502205,4.194715,8.054076,3.749448,2.5989523,4.927034
48.5,5.625,2014-01-02 14:30:00,58.605995,1387.1029,92793.56,96807.75,100708.9,281.71426,281.4662,279.65417,274.06326,280.77216,4.8874946,3.309084,7.272927,3.3180547,2.2473745,4.884263
48.5,5.625,2014-01-02 15:30:00,65.81121,1393.4622,91493.39,96888.98,100797.17,280.6402,280.19507,279.3366,273.9583,279.1524,4.1810718,2.7278705,7.2695904,2.9419017,1.9203372,5.0582237
48.5,5.625,2014-01-02 16:30:00,71.760506,1398.5469,89940.16,96960.18,100870.05,280.1769,279.7442,279.0572,273.81155,278.9619,4.379389,2.8776991,7.4066734,3.1387653,2.062282,5.2094226
48.5,5.625,2014-01-02 17:30:00,75.6817,1401.5223,89594.92,97005.77,100918.17,279.88855,279.51007,278.83905,273.524,278.75687,3.9735708,2.6239715,6.5547743,3.495408,2.3065147,5.6916714
48.5,5.625,2014-01-02 18:30:00,76.82535,1402.6711,89368.67,97024.41,100930.86,279.5017,279.13376,278.6044,273.4934,278.40173,3.1959488,2.110714,5.311648,4.087661,2.6958296,6.647481
48.5,5.625,2014-01-02 19:30:00,76.89478,1403.7975,94185.41,97027.2,100930.27,278.62982,278.1697,278.23312,273.5832,277.16315,2.2302632,1.4459443,3.9168396,4.3120975,2.7878637,7.536269
48.5,5.625,2014-01-02 20:30:00,77.68424,1405.9596,96168.1,97041.52,100939.18,278.1792,277.83087,277.99338,273.70197,277.19882,1.6837746,1.1124871,2.7282157,4.9810095,3.2955823,7.9790983
48.5,5.625,2014-01-02 21:30:00,78.28108,1407.5332,96326.3,97049.16,100945.875,278.02722,277.8794,277.80695,273.9702,277.6393,1.6558895,1.1318954,2.309977,5.579693,3.8076363,7.724284
48.5,5.625,2014-01-02 22:30:00,79.37043,1408.461,95685.43,97063.2,100959.16,278.03134,277.97186,277.72617,274.2128,277.9063,1.8974229,1.3122379,2.6699064,5.7736754,3.9859412,7.61967
48.5,5.625,2014-01-02 23:30:00,79.27998,1407.9658,95979.14,97064.67,100957.734,278.02747,277.9721,277.67175,274.3143,277.80792,1.8033252,1.2469047,2.4607754,5.783633,3.9974322,7.6326156
48.0,5.0,2014-01-01 00:30:00,107.56455,1427.4036,93856.84,97438.414,101304.84,276.93365,276.7397,276.13486,273.64514,276.32974,3.9291534,2.680465,5.6631136,5.2762537,3.5961556,7.348831
48.0,5.0,2014-01-01 01:30:00,109.16565,1428.7266,95636.16,97451.72,101325.67,276.89523,276.69107,276.29553,273.25455,276.25146,3.1005719,2.1021478,4.600453,4.9211426,3.333961,6.9717402
48.0,5.0,2014-01-01 02:30:00,110.37683,1429.2582,93856.414,97462.7,101341.75,276.94818,276.73297,276.43323,273.04254,276.30417,3.21897,2.172796,4.963976,4.53132,3.0597343,6.5836563
48.0,5.0,2014-01-01 03:30:00,110.96676,1428.6882,92500.72,97468.27,101351.19,277.16788,276.95184,276.68436,272.77066,276.5351,3.147089,2.1188607,4.8895373,4.2358875,2.8521879,6.2283773
48.0,5.0,2014-01-01 04:30:00,111.99525,1428.448,93715.625,97477.79,101364.67,277.29178,277.08203,276.82794,272.48907,276.6581,2.7856383,1.8696142,4.3647504,4.0553474,2.7223716,6.0620484
